epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,493.081,1.53701,1.00485,1.41179,0.78882,0.57966,0.64745,0.34261,1.55894,0.94093,1.3758,0.0670195,0.000333137,0.000333137
2,935.827,1.48552,0.96311,1.39841,0.81521,0.59331,0.67662,0.36137,1.5212,0.89844,1.33911,0.0340129,0.000659872,0.000659872
3,1409.92,1.45187,0.9363,1.37806,0.81873,0.58292,0.67202,0.37653,1.42662,0.8685,1.28601,0.000999673,0.000980007,0.000980007
4,1854.83,1.41914,0.90854,1.35395,0.83284,0.59169,0.69022,0.40152,1.36883,0.81376,1.2562,0.0009703,0.0009703,0.0009703
5,2288.95,1.39438,0.89053,1.3381,0.83162,0.60043,0.69261,0.40057,1.37716,0.80231,1.25232,0.0009604,0.0009604,0.0009604
6,2726.18,1.38079,0.87409,1.32936,0.82723,0.599,0.69474,0.39981,1.39691,0.79274,1.25308,0.0009505,0.0009505,0.0009505
7,3121.03,1.36185,0.86128,1.31772,0.82222,0.60091,0.69185,0.40516,1.35488,0.79126,1.24022,0.0009406,0.0009406,0.0009406
8,3496.39,1.35042,0.85267,1.31136,0.82954,0.61283,0.69994,0.41539,1.32876,0.77871,1.22841,0.0009307,0.0009307,0.0009307
9,3875.61,1.34002,0.8442,1.30349,0.82912,0.61372,0.70265,0.41955,1.30669,0.77051,1.21952,0.0009208,0.0009208,0.0009208
10,4343.95,1.33424,0.83904,1.29658,0.82831,0.60831,0.7004,0.41863,1.30101,0.75471,1.21645,0.0009109,0.0009109,0.0009109
11,4898.81,1.32675,0.83175,1.29239,0.82908,0.60886,0.70108,0.42142,1.30527,0.7575,1.22116,0.000901,0.000901,0.000901
12,5481.98,1.31854,0.82726,1.29148,0.83773,0.61136,0.70411,0.42272,1.30528,0.74473,1.21253,0.0008911,0.0008911,0.0008911
13,6078.76,1.31298,0.82152,1.28298,0.83469,0.61402,0.70684,0.42437,1.30925,0.74609,1.21357,0.0008812,0.0008812,0.0008812
14,6579.74,1.3086,0.81651,1.2854,0.83922,0.61216,0.70664,0.42438,1.30744,0.74068,1.20699,0.0008713,0.0008713,0.0008713
15,7021.23,1.30201,0.81415,1.27966,0.83668,0.61148,0.70811,0.42771,1.29268,0.72978,1.2012,0.0008614,0.0008614,0.0008614
16,7462.97,1.29807,0.81131,1.278,0.83112,0.61585,0.7088,0.42769,1.28934,0.73636,1.19719,0.0008515,0.0008515,0.0008515
17,7904.32,1.29098,0.80307,1.27112,0.83734,0.61503,0.71096,0.43208,1.27993,0.71923,1.19474,0.0008416,0.0008416,0.0008416
