epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.7408,1.98314,10.0056,0.01887,0.13249,0.73,0.37211,0.12175,1.94189,3.60531,0.01971,0.00018,0.00018,0.08218
2,46.9982,1.76647,2.11239,0.01474,0.28926,0.7,0.46813,0.12986,2.04931,3.57976,0.01931,0.000365421,0.000365421,0.0633654
3,49.2315,1.82188,1.21351,0.01556,0.85391,0.72,0.82371,0.26129,2.51019,1.0542,0.02921,0.00054614,0.00054614,0.0445461
4,51.4692,1.77687,0.96449,0.01518,0.87234,0.85,0.85946,0.39602,2.03862,0.67255,0.01899,0.000722156,0.000722156,0.0257222
5,53.6284,1.89783,0.96215,0.01675,0.86322,0.9,0.91174,0.37712,2.08451,0.68639,0.0213,0.00089347,0.00089347,0.00689347
6,55.7708,1.8142,0.92766,0.01529,0.92123,0.85,0.92344,0.41841,1.90729,0.99217,0.01843,0.000938125,0.000938125,0.000938125
7,57.8721,1.77096,0.94474,0.01467,0.85037,0.85,0.89479,0.38494,2.02194,0.78785,0.01992,0.00092575,0.00092575,0.00092575
8,59.8456,1.67025,0.86498,0.01335,0.86984,0.93561,0.89031,0.41141,1.78501,0.77741,0.0165,0.000913375,0.000913375,0.000913375
9,61.8523,1.58258,0.72913,0.0132,0.89523,0.91,0.8723,0.27003,2.34401,0.85312,0.02408,0.000901,0.000901,0.000901
10,63.9134,1.82905,0.82714,0.01582,0.92924,0.95,0.94313,0.5137,1.56944,0.67389,0.01506,0.000888625,0.000888625,0.000888625
11,66.0857,1.70255,0.69195,0.01431,0.92439,0.93,0.93388,0.51253,1.59209,0.69044,0.01502,0.00087625,0.00087625,0.00087625
12,68.1424,1.64271,0.67674,0.01294,0.92125,0.95,0.92429,0.42686,1.93474,0.5947,0.0177,0.000863875,0.000863875,0.000863875
13,70.2441,1.72275,0.6444,0.0143,0.91167,0.92897,0.91535,0.38385,2.12869,0.78084,0.02114,0.0008515,0.0008515,0.0008515
14,72.3052,1.70569,0.67987,0.01421,0.9375,0.97,0.96089,0.46394,1.79971,0.57401,0.01692,0.000839125,0.000839125,0.000839125
15,74.2967,1.62091,0.69187,0.01387,0.91953,0.96,0.94917,0.5865,1.45633,0.45559,0.01348,0.00082675,0.00082675,0.00082675
16,76.4194,1.55367,0.65402,0.01276,0.92628,0.96,0.96547,0.48248,1.75655,0.54675,0.01642,0.000814375,0.000814375,0.000814375
17,78.3517,1.59189,0.64838,0.01277,0.92598,0.96,0.94751,0.5877,1.46796,0.47344,0.0137,0.000802,0.000802,0.000802
18,80.6206,1.5883,0.7009,0.01342,0.93682,0.97,0.94914,0.57529,1.48912,0.43932,0.01413,0.000789625,0.000789625,0.000789625
19,82.5557,1.53978,0.64519,0.01265,0.93658,0.93,0.93259,0.53553,1.62384,0.47551,0.01512,0.00077725,0.00077725,0.00077725
20,84.5177,1.54365,0.64222,0.01243,0.9509,0.96832,0.94631,0.48195,1.78662,0.46485,0.01705,0.000764875,0.000764875,0.000764875
21,86.4296,1.56848,0.6344,0.01322,0.95835,0.98,0.97489,0.51679,1.70618,0.51488,0.01584,0.0007525,0.0007525,0.0007525
22,88.63,1.50286,0.60169,0.01178,0.93938,0.98,0.95882,0.51212,1.65518,0.4743,0.01519,0.000740125,0.000740125,0.000740125
23,90.5624,1.51346,0.55824,0.01242,0.94247,0.98289,0.96725,0.51177,1.74142,0.51416,0.01603,0.00072775,0.00072775,0.00072775
24,92.4888,1.48867,0.56078,0.01244,0.93798,0.97,0.97977,0.64541,1.33252,0.42116,0.01255,0.000715375,0.000715375,0.000715375
25,94.5445,1.49135,0.57589,0.01189,0.94031,0.97,0.96194,0.6327,1.43232,0.41245,0.01351,0.000703,0.000703,0.000703
26,96.6041,1.48362,0.57637,0.01202,0.92288,0.98,0.95573,0.64012,1.31387,0.39988,0.01271,0.000690625,0.000690625,0.000690625
27,98.8077,1.47161,0.52754,0.01146,0.92702,0.97,0.95069,0.57692,1.44319,0.41203,0.01318,0.00067825,0.00067825,0.00067825
28,100.817,1.46205,0.59011,0.01155,0.92276,0.97,0.95351,0.63511,1.24084,0.41463,0.01192,0.000665875,0.000665875,0.000665875
29,103.382,1.48522,0.54537,0.01184,0.95048,0.92,0.956,0.62304,1.3055,0.43682,0.01226,0.0006535,0.0006535,0.0006535
30,105.355,1.45027,0.54549,0.01175,0.9471,0.91,0.96169,0.65002,1.21216,0.47132,0.01142,0.000641125,0.000641125,0.000641125
