epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,57.6783,0.64418,0.65109,1,0.61829,0.0670648,0.000332678,0.000332678
2,111.865,0.58483,0.6833,1,0.5737,0.0340582,0.000659418,0.000659418
3,158.318,0.57956,0.68158,1,0.58685,0.00104505,0.000979558,0.000979558
4,202.489,0.57183,0.68355,1,0.61594,0.0009703,0.0009703,0.0009703
5,247.809,0.54638,0.68994,1,0.58898,0.0009604,0.0009604,0.0009604
6,293.832,0.53636,0.71625,1,0.55139,0.0009505,0.0009505,0.0009505
7,339.114,0.51885,0.70789,1,0.54405,0.0009406,0.0009406,0.0009406
8,387.047,0.50597,0.74477,1,0.49892,0.0009307,0.0009307,0.0009307
9,437.355,0.49854,0.72928,1,0.51865,0.0009208,0.0009208,0.0009208
10,488.817,0.48181,0.74896,1,0.49561,0.0009109,0.0009109,0.0009109
11,540.75,0.47765,0.75387,1,0.51736,0.000901,0.000901,0.000901
12,592.321,0.4696,0.75338,1,0.48669,0.0008911,0.0008911,0.0008911
13,642.178,0.46308,0.73887,1,0.4987,0.0008812,0.0008812,0.0008812
14,702.494,0.45102,0.76051,1,0.48111,0.0008713,0.0008713,0.0008713
15,754.776,0.44083,0.75559,1,0.49155,0.0008614,0.0008614,0.0008614
16,809.432,0.43743,0.76543,1,0.47549,0.0008515,0.0008515,0.0008515
17,860.629,0.43539,0.77182,1,0.47565,0.0008416,0.0008416,0.0008416
18,911.732,0.42074,0.78092,1,0.43848,0.0008317,0.0008317,0.0008317
19,962.739,0.41673,0.78485,1,0.4528,0.0008218,0.0008218,0.0008218
20,1012.36,0.41021,0.77625,1,0.46406,0.0008119,0.0008119,0.0008119
21,1059.46,0.39737,0.78633,1,0.44,0.000802,0.000802,0.000802
22,1105.4,0.3826,0.79321,1,0.43666,0.0007921,0.0007921,0.0007921
23,1150.11,0.3794,0.79444,1,0.42282,0.0007822,0.0007822,0.0007822
24,1195.02,0.37851,0.79395,1,0.41817,0.0007723,0.0007723,0.0007723
25,1240.46,0.36275,0.80575,1,0.40629,0.0007624,0.0007624,0.0007624
26,1286.13,0.35459,0.80452,1,0.41234,0.0007525,0.0007525,0.0007525
27,1332.19,0.35133,0.79272,1,0.42058,0.0007426,0.0007426,0.0007426
28,1378.02,0.343,0.80674,1,0.41309,0.0007327,0.0007327,0.0007327
29,1423.61,0.32936,0.80403,1,0.41533,0.0007228,0.0007228,0.0007228
30,1469.8,0.3206,0.80944,1,0.41036,0.0007129,0.0007129,0.0007129
31,1516.16,0.31825,0.81534,1,0.40989,0.000703,0.000703,0.000703
32,1562.22,0.31448,0.80379,1,0.42432,0.0006931,0.0006931,0.0006931
