epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.6223,2.35876,1.23252,1.01706,0.82152,0.76714,0.80129,0.29093,2.15536,1.01135,0.94873,0.000330918,0.000330918,0.0672391
2,102.975,2.11586,0.96106,0.95519,0.87957,0.81455,0.8534,0.32255,2.08981,0.98373,0.94327,0.000651099,0.000651099,0.034226
3,111.495,2.10126,0.90612,0.94809,0.88473,0.84338,0.87363,0.33197,2.04558,1.005,0.93364,0.00095808,0.00095808,0.00119963
4,119.677,2.01866,0.87881,0.93975,0.88031,0.83543,0.88501,0.37531,1.89809,0.89977,0.90881,0.0009406,0.0009406,0.0009406
5,128.473,2.00991,0.86969,0.93477,0.90469,0.84062,0.87192,0.34215,2.00608,0.84806,0.92614,0.0009208,0.0009208,0.0009208
6,136.705,2.03548,0.87271,0.93191,0.90171,0.85523,0.88949,0.3617,1.969,0.80802,0.91859,0.000901,0.000901,0.000901
7,144.772,1.98794,0.83783,0.92324,0.91342,0.87437,0.9115,0.38025,1.90138,0.79473,0.90755,0.0008812,0.0008812,0.0008812
8,154.021,1.93948,0.82223,0.91873,0.91682,0.87678,0.90969,0.38702,1.86734,0.77003,0.90062,0.0008614,0.0008614,0.0008614
9,162.199,1.93328,0.82991,0.92434,0.90042,0.87394,0.90316,0.36302,1.95741,0.84134,0.91472,0.0008416,0.0008416,0.0008416
10,170.169,1.93448,0.82826,0.91972,0.90718,0.87376,0.9115,0.39297,1.89028,0.7864,0.90385,0.0008218,0.0008218,0.0008218
11,179.903,1.8928,0.80382,0.91822,0.91128,0.87644,0.92141,0.40368,1.82609,0.76733,0.89232,0.000802,0.000802,0.000802
12,188.622,1.91926,0.81513,0.91406,0.91583,0.88538,0.92433,0.40635,1.84833,0.7561,0.8963,0.0007822,0.0007822,0.0007822
13,196.774,1.91395,0.79732,0.91724,0.91486,0.88316,0.91478,0.3881,1.89309,0.77559,0.9025,0.0007624,0.0007624,0.0007624
14,204.714,1.89376,0.79484,0.90832,0.91873,0.89226,0.92153,0.40111,1.8869,0.76988,0.90668,0.0007426,0.0007426,0.0007426
15,212.748,1.87755,0.77834,0.90926,0.91703,0.88471,0.92468,0.41022,1.81853,0.74401,0.88994,0.0007228,0.0007228,0.0007228
16,220.877,1.87483,0.77417,0.90546,0.91842,0.89508,0.92631,0.40316,1.8566,0.75744,0.89836,0.000703,0.000703,0.000703
17,229.784,1.84899,0.75903,0.90489,0.91895,0.89966,0.92315,0.40602,1.80899,0.73649,0.89084,0.0006832,0.0006832,0.0006832
18,238.225,1.84404,0.77116,0.90991,0.91575,0.8966,0.92673,0.41536,1.84745,0.73521,0.89719,0.0006634,0.0006634,0.0006634
19,246.543,1.85232,0.75754,0.8996,0.91038,0.88843,0.92269,0.40507,1.82053,0.7447,0.89181,0.0006436,0.0006436,0.0006436
20,254.558,1.84137,0.7522,0.90359,0.91638,0.88933,0.91264,0.38854,1.86158,0.74716,0.89688,0.0006238,0.0006238,0.0006238
21,262.885,1.8524,0.77054,0.9046,0.9209,0.90286,0.93026,0.42032,1.80685,0.72154,0.88971,0.000604,0.000604,0.000604
22,271.623,1.83115,0.74991,0.90101,0.92688,0.8987,0.92714,0.40762,1.83956,0.72257,0.8946,0.0005842,0.0005842,0.0005842
23,281.406,1.83142,0.74368,0.89723,0.92005,0.90062,0.93443,0.4241,1.78779,0.72368,0.88451,0.0005644,0.0005644,0.0005644
